u_i;p;M;L;l.1
7644;10002;1;1;1
7694;10002;1;1;1
7744;10002;1;1;1
7795;10002;1;1;1
7845;10002;1;1;1
7895;10002;1;1;1
7945;10002;1;1;1
7996;10002;1;1;1
8046;10002;1;1;1
8096;10002;1;1;1
8147;10002;1;1;1
8197;10002;1;1;1
8247;10002;1;1;1
8297;10002;1;1;1
8348;10002;1;1;1
8398;10002;1;1;1
8448;10002;1;1;1
8499;10002;1;1;1
8549;10002;1;1;1
8599;10002;1;1;1
8649;10002;1;1;1
8700;10002;1;1;1
8750;10002;1;1;1
8800;10002;1;1;1
8851;10002;1;1;1
8901;10002;1;1;1
8951;10002;1;1;1
9001;10002;1;1;1
9052;10002;1;1;1
9102;10002;1;1;1
9152;10002;1;1;1
9202;10002;1;1;1
9253;10002;1;1;1
9303;10002;1;1;1
9353;10002;1;1;1
9404;10002;1;1;1
9454;10002;1;1;1
9504;10002;1;1;1
9554;10002;1;1;1
9605;10002;1;1;1
9655;10002;1;1;1
9705;10002;1;1;1
9756;10002;1;1;1
9806;10002;1;1;1
9856;10002;1;1;1
9906;10002;1;1;1
9957;10002;1;1;1
1;10003;1;1;1
51;10003;1;1;1
102;10003;1;1;1
152;10003;1;1;1
202;10003;1;1;1
252;10003;1;1;1
303;10003;1;1;1
353;10003;1;1;1
403;10003;1;1;1
454;10003;1;1;1
504;10003;1;1;1
554;10003;1;1;1
604;10003;1;1;1
655;10003;1;1;1
705;10003;1;1;1
755;10003;1;1;1
806;10003;1;1;1
856;10003;1;1;1
906;10003;1;1;1
956;10003;1;1;1
1007;10003;1;1;1
1057;10003;1;1;1
1107;10003;1;1;1
1157;10003;1;1;1
1208;10003;1;1;1
1258;10003;1;1;1
1308;10003;1;1;1
1359;10003;1;1;1
1409;10003;1;1;1
1459;10003;1;1;1
1509;10003;1;1;1
1560;10003;1;1;1
1610;10003;1;1;1
1660;10003;1;1;1
1711;10003;1;1;1
1761;10003;1;1;1
1811;10003;1;1;1
1861;10003;1;1;1
1912;10003;1;1;1
1962;10003;1;1;1
2012;10003;1;1;1
2063;10003;1;1;1
2113;10003;1;1;1
2163;10003;1;1;1
2213;10003;1;1;1
2264;10003;1;1;1
2314;10003;1;1;1
2364;10003;1;1;1
2415;10003;1;1;1
2465;10003;1;1;1
2515;10003;1;1;1
2565;10003;1;1;1
2616;10003;1;1;1
2666;10003;1;1;1
2716;10003;1;1;1
2766;10003;1;1;1
2817;10003;1;1;1
2867;10003;1;1;1
2917;10003;1;1;1
2968;10003;1;1;1
3018;10003;1;1;1
3068;10003;1;1;1
3118;10003;1;1;1
3169;10003;1;1;1
3219;10003;1;1;1
3269;10003;1;1;1
3320;10003;1;1;1
3370;10003;1;1;1
3420;10003;1;1;1
3470;10003;1;1;1
3521;10003;1;1;1
3571;10003;1;1;1
3621;10003;1;1;1
3672;10003;1;1;1
3722;10003;1;1;1
3772;10003;1;1;1
3822;10003;1;1;1
3873;10003;1;1;1
3923;10003;1;1;1
3973;10003;1;1;1
4024;10003;1;1;1
4074;10003;1;1;1
4124;10003;1;1;1
4174;10003;1;1;1
4225;10003;1;1;1
4275;10003;1;1;1
4325;10003;1;1;1
4375;10003;1;1;1
4426;10003;1;1;1
4476;10003;1;1;1
4526;10003;1;1;1
4577;10003;1;1;1
4627;10003;1;1;1
4677;10003;1;1;1
4727;10003;1;1;1
4778;10003;1;1;1
4828;10003;1;1;1
4878;10003;1;1;1
4929;10003;1;1;1
4979;10003;1;1;1
5029;10003;1;1;1
5079;10003;1;1;1
5130;10003;1;1;1
5180;10003;1;1;1
5230;10003;1;1;1
5281;10003;1;1;1
5331;10003;1;1;1
5381;10003;1;1;1
5431;10003;1;1;1
5482;10003;1;1;1
5532;10003;1;1;1
5582;10003;1;1;1
5633;10003;1;1;1
5683;10003;1;1;1
5733;10003;1;1;1
5783;10003;1;1;1
5834;10003;1;1;1
5884;10003;1;1;1
5934;10003;1;1;1
5984;10003;1;1;1
6035;10003;1;1;1
6085;10003;1;1;1
6135;10003;1;1;1
6186;10003;1;1;1
6236;10003;1;1;1
6286;10003;1;1;1
6336;10003;1;1;1
6387;10003;1;1;1
6437;10003;1;1;1
6487;10003;1;1;1
6538;10003;1;1;1
6588;10003;1;1;1
6638;10003;1;1;1
6688;10003;1;1;1
6739;10003;1;1;1
6789;10003;1;1;1
6839;10003;1;1;1
6890;10003;1;1;1
6940;10003;1;1;1
6990;10003;1;1;1
7040;10003;1;1;1
7091;10003;1;1;1
7141;10003;1;1;1
7191;10003;1;1;1
7242;10003;1;1;1
7292;10003;1;1;1
7342;10003;1;1;1
7392;10003;1;1;1
7443;10003;1;1;1
7493;10003;1;1;1
7543;10003;1;1;1
7593;10003;1;1;1
7644;10003;1;1;1
7694;10003;1;1;1
7744;10003;1;1;1
7795;10003;1;1;1
7845;10003;1;1;1
7895;10003;1;1;1
7945;10003;1;1;1
7996;10003;1;1;1
8046;10003;1;1;1
8096;10003;1;1;1
8147;10003;1;1;1
8197;10003;1;1;1
8247;10003;1;1;1
8297;10003;1;1;1
8348;10003;1;1;1
8398;10003;1;1;1
8448;10003;1;1;1
8499;10003;1;1;1
8549;10003;1;1;1
8599;10003;1;1;1
8649;10003;1;1;1
8700;10003;1;1;1
8750;10003;1;1;1
8800;10003;1;1;1
8851;10003;1;1;1
8901;10003;1;1;1
8951;10003;1;1;1
9001;10003;1;1;1
9052;10003;1;1;1
9102;10003;1;1;1
9152;10003;1;1;1
9202;10003;1;1;1
9253;10003;1;1;1
9303;10003;1;1;1
9353;10003;1;1;1
9404;10003;1;1;1
9454;10003;1;1;1
9504;10003;1;1;1
9554;10003;1;1;1
9605;10003;1;1;1
9655;10003;1;1;1
9705;10003;1;1;1
9756;10003;1;1;1
9806;10003;1;1;1
9856;10003;1;1;1
9906;10003;1;1;1
9957;10003;1;1;1
1;10004;1;1;1
51;10004;1;1;1
102;10004;1;1;1
152;10004;1;1;1
202;10004;1;1;1
252;10004;1;1;1
303;10004;1;1;1
353;10004;1;1;1
403;10004;1;1;1
454;10004;1;1;1
504;10004;1;1;1
554;10004;1;1;1
604;10004;1;1;1
655;10004;1;1;1
705;10004;1;1;1
755;10004;1;1;1
806;10004;1;1;1
856;10004;1;1;1
906;10004;1;1;1
956;10004;1;1;1
1007;10004;1;1;1
1057;10004;1;1;1
1107;10004;1;1;1
1157;10004;1;1;1
1208;10004;1;1;1
1258;10004;1;1;1
1308;10004;1;1;1
1359;10004;1;1;1
1409;10004;1;1;1
1459;10004;1;1;1
1509;10004;1;1;1
1560;10004;1;1;1
1610;10004;1;1;1
1660;10004;1;1;1
1711;10004;1;1;1
1761;10004;1;1;1
1811;10004;1;1;1
1861;10004;1;1;1
1912;10004;1;1;1
1962;10004;1;1;1
2012;10004;1;1;1
2063;10004;1;1;1
2113;10004;1;1;1
2163;10004;1;1;1
2213;10004;1;1;1
2264;10004;1;1;1
2314;10004;1;1;1
2364;10004;1;1;1
2415;10004;1;1;1
2465;10004;1;1;1
2515;10004;1;1;1
2565;10004;1;1;1
2616;10004;1;1;1
2666;10004;1;1;1
2716;10004;1;1;1
2766;10004;1;1;1
2817;10004;1;1;1
2867;10004;1;1;1
2917;10004;1;1;1
2968;10004;1;1;1
3018;10004;1;1;1
3068;10004;1;1;1
3118;10004;1;1;1
3169;10004;1;1;1
3219;10004;1;1;1
3269;10004;1;1;1
3320;10004;1;1;1
3370;10004;1;1;1
3420;10004;1;1;1
3470;10004;1;1;1
3521;10004;1;1;1
3571;10004;1;1;1
3621;10004;1;1;1
3672;10004;1;1;1
3722;10004;1;1;1
3772;10004;1;1;1
3822;10004;1;1;1
3873;10004;1;1;1
3923;10004;1;1;1
3973;10004;1;1;1
4024;10004;1;1;1
4074;10004;1;1;1
4124;10004;1;1;1
4174;10004;1;1;1
4225;10004;1;1;1
4275;10004;1;1;1
4325;10004;1;1;1
4375;10004;1;1;1
4426;10004;1;1;1
4476;10004;1;1;1
4526;10004;1;1;1
4577;10004;1;1;1
4627;10004;1;1;1
4677;10004;1;1;1
4727;10004;1;1;1
4778;10004;1;1;1
4828;10004;1;1;1
4878;10004;1;1;1
4929;10004;1;1;1
4979;10004;1;1;1
5029;10004;1;1;1
5079;10004;1;1;1
5130;10004;1;1;1
5180;10004;1;1;1
5230;10004;1;1;1
5281;10004;1;1;1
5331;10004;1;1;1
5381;10004;1;1;1
5431;10004;1;1;1
5482;10004;1;1;1
5532;10004;1;1;1
5582;10004;1;1;1
5633;10004;1;1;1
5683;10004;1;1;1
5733;10004;1;1;1
5783;10004;1;1;1
5834;10004;1;1;1
5884;10004;1;1;1
5934;10004;1;1;1
5984;10004;1;1;1
6035;10004;1;1;1
6085;10004;1;1;1
6135;10004;1;1;1
6186;10004;1;1;1
6236;10004;1;1;1
6286;10004;1;1;1
6336;10004;1;1;1
6387;10004;1;1;1
6437;10004;1;1;1
6487;10004;1;1;1
6538;10004;1;1;1
6588;10004;1;1;1
6638;10004;1;1;1
6688;10004;1;1;1
6739;10004;1;1;1
6789;10004;1;1;1
6839;10004;1;1;1
6890;10004;1;1;1
6940;10004;1;1;1
6990;10004;1;1;1
7040;10004;1;1;1
7091;10004;1;1;1
7141;10004;1;1;1
7191;10004;1;1;1
7242;10004;1;1;1
7292;10004;1;1;1
7342;10004;1;1;1
7392;10004;1;1;1
7443;10004;1;1;1
7493;10004;1;1;1
7543;10004;1;1;1
7593;10004;1;1;1
7644;10004;1;1;1
7694;10004;1;1;1
7744;10004;1;1;1
7795;10004;1;1;1
7845;10004;1;1;1
7895;10004;1;1;1
7945;10004;1;1;1
7996;10004;1;1;1
8046;10004;1;1;1
8096;10004;1;1;1
8147;10004;1;1;1
8197;10004;1;1;1
8247;10004;1;1;1
8297;10004;1;1;1
8348;10004;1;1;1
8398;10004;1;1;1
8448;10004;1;1;1
8499;10004;1;1;1
8549;10004;1;1;1
8599;10004;1;1;1
8649;10004;1;1;1
8700;10004;1;1;1
8750;10004;1;1;1
8800;10004;1;1;1
8851;10004;1;1;1
8901;10004;1;1;1
8951;10004;1;1;1
9001;10004;1;1;1
9052;10004;1;1;1
9102;10004;1;1;1
9152;10004;1;1;1
9202;10004;1;1;1
9253;10004;1;1;1
9303;10004;1;1;1
9353;10004;1;1;1
9404;10004;1;1;1
9454;10004;1;1;1
9504;10004;1;1;1
9554;10004;1;1;1
9605;10004;1;1;1
9655;10004;1;1;1
9705;10004;1;1;1
9756;10004;1;1;1
9806;10004;1;1;1
9856;10004;1;1;1
9906;10004;1;1;1
9957;10004;1;1;1
1;10005;1;1;1
51;10005;1;1;1
102;10005;1;1;1
152;10005;1;1;1
202;10005;1;1;1
252;10005;1;1;1
303;10005;1;1;1
353;10005;1;1;1
403;10005;1;1;1
454;10005;1;1;1
504;10005;1;1;1
554;10005;1;1;1
604;10005;1;1;1
655;10005;1;1;1
705;10005;1;1;1
755;10005;1;1;1
806;10005;1;1;1
856;10005;1;1;1
906;10005;1;1;1
956;10005;1;1;1
1007;10005;1;1;1
1057;10005;1;1;1
1107;10005;1;1;1
1157;10005;1;1;1
1208;10005;1;1;1
1258;10005;1;1;1
1308;10005;1;1;1
1359;10005;1;1;1
1409;10005;1;1;1
1459;10005;1;1;1
1509;10005;1;1;1
1560;10005;1;1;1
1610;10005;1;1;1
1660;10005;1;1;1
1711;10005;1;1;1
1761;10005;1;1;1
1811;10005;1;1;1
1861;10005;1;1;1
1912;10005;1;1;1
1962;10005;1;1;1
2012;10005;1;1;1
2063;10005;1;1;1
2113;10005;1;1;1
2163;10005;1;1;1
2213;10005;1;1;1
2264;10005;1;1;1
2314;10005;1;1;1
2364;10005;1;1;1
2415;10005;1;1;1
2465;10005;1;1;1
2515;10005;1;1;1
2565;10005;1;1;1
2616;10005;1;1;1
2666;10005;1;1;1
2716;10005;1;1;1
